entrance,ref,lon,lat,addr:flats,barrier,bicycle,foot,motor_vehicle,access,amenity,display,faces,support,visibility,artwork_type,name,name:ru,name:uk,tourism,brand,brand:en,brand:uk,brand:wikidata,brand:wikipedia,contact:phone,currency:UAH,name:en,network,operator,operator:en,operator:ru,operator:uk,operator:wikidata,operator:wikipedia,opening_hours,parcel_mail_in,parcel_pickup,payment:app,refrigerated,addr:housenumber,addr:street,building,building:colour,building:levels,building:material,height,roof:colour,roof:material,roof:shape,geometry,addr:postcode,building:part,comment,wheelchair,addr:place,building:condition,description,loc_name,loc_name:ru,loc_name:uk,roof:height,building:min_level,min_height
staircase,1,37.6401497,47.1046751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,1,37.6387677,47.1076231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,3,37.6378193,47.1076949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,2,37.6379235,47.1076408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,3,37.6424572,47.107395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,1,37.6428096,47.107373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,3,37.6395619,47.1075749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,2,37.6442769,47.1072868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,2,37.6405227,47.1075216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,1,37.6405391,47.1076435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,2,37.6604797,47.1074064,7-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,,37.6586388,47.1075147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,1,37.6611172,47.107386,1-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,,37.6611994,47.107918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,,37.6556707,47.1076949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,1,37.6545381,47.1070545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,2,37.6545654,47.1072656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,,37.65217,47.1084699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
staircase,,37.6540305,47.107807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
