city,street,housenumber,type,service_type,service_name,address,lat,lon
Маріуполь,улица Киевская,76,commercial,unknown,,"Маріуполь, улица Киевская, 76",47.097133,37.543367
Маріуполь,перекресток бульвар Комсомольского и бульвар 50 лет Октября,,commercial,unknown,,"Маріуполь, перекресток бульвар Комсомольского и бульвар 50 лет Октября",47.0982094,37.637957
Маріуполь,улица Котляревского,1,commercial,unknown,,"Маріуполь, улица Котляревского, 1",47.11061429999999,37.5555191
Маріуполь,улица Краснофлотская,145А,commercial,unknown,,"Маріуполь, улица Краснофлотская, 145А",47.097133,37.543367
Маріуполь,улица Кронштадтская,2а,commercial,unknown,,"Маріуполь, улица Кронштадтская, 2а",47.0797787,37.5166773
Маріуполь,улица Кронштадтская,4,commercial,unknown,,"Маріуполь, улица Кронштадтская, 4",47.0798717,37.5158091
Маріуполь,улица Кронштадтская,4,commercial,unknown,,"Маріуполь, улица Кронштадтская, 4",47.0798717,37.5158091
Маріуполь,улица Кронштадтская,4,commercial,unknown,,"Маріуполь, улица Кронштадтская, 4",47.0798717,37.5158091
Маріуполь,улица Кронштадтская,4,commercial,unknown,,"Маріуполь, улица Кронштадтская, 4",47.0798717,37.5158091
Маріуполь,улица Кронштадтская,4,commercial,unknown,,"Маріуполь, улица Кронштадтская, 4",47.0798717,37.5158091
Маріуполь,улица Куйбышева,14,commercial,unknown,,"Маріуполь, улица Куйбышева, 14",47.1400489,37.5730734
Маріуполь,улица Куйбышева,16,commercial,unknown,,"Маріуполь, улица Куйбышева, 16",47.1403912,37.5727431
Маріуполь,улица Курчатова,35,commercial,unknown,,"Маріуполь, улица Курчатова, 35",47.159763,37.6136769
Маріуполь,улица Лавицкого,3,commercial,unknown,,"Маріуполь, улица Лавицкого, 3",47.08614190000001,37.5229336
Маріуполь,улица Лавицкого,16,commercial,unknown,,"Маріуполь, улица Лавицкого, 16",47.0872648,37.5192772
Маріуполь,улица Лавицкого,23,commercial,unknown,,"Маріуполь, улица Лавицкого, 23",47.0883598,37.5177828
